मद (बुनियादी मूल्यों पर सकल मूल्य वर्धन),2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,ITEM (GVA at basic prices from),मद (बुनियादी मूल्यों पर सकल मूल्य वर्धन),2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,ITEM (GVA at basic prices from)
,,,,,,,,,,,,,,Share of Expenditure Components in GDP,,,,,,,,,,,,,,,Share of Expenditure Components in GDP
16. सरकारी अंतिम उपभोग व्यय,"9,68,375","9,74,263","9,79,825","10,54,151","11,32,802","12,01,598","13,44,843","14,34,945","14,91,606","14,80,124","14,80,394","16,13,726","16,62,078",GFCE,16. सरकारी अंतिम उपभोग व्यय,11.1,10.6,10,10,10,9.8,10.2,10.3,10.3,10.8,9.9,10,9.6,GFCE
17. निजी अंतिम उपभोग व्यय,"49,10,447","51,79,091","55,57,329","59,12,657","63,81,419","69,00,236","73,30,728","78,50,444","82,56,218","78,19,509","87,32,573","93,23,825","96,05,526",PFCE,17. निजी अंतिम उपभोग व्यय,56.2,56.2,56.7,56.2,56.1,56.1,55.8,56.1,56.8,57.1,58.1,58,55.6,PFCE
18. सकल स्थायी पूंजी निर्माण,"29,97,733","31,45,793","31,94,924","32,78,096","34,92,183","37,87,568","40,83,079","45,40,509","45,92,579","42,66,684","50,14,263","53,46,423","58,93,155",GFCF,18. सकल स्थायी पूंजी निर्माण,34.3,34.1,32.6,31.1,30.7,30.8,31.1,32.4,31.6,31.2,33.4,33.3,34.1,GFCF
19. स्टॉक में अंतर,"2,07,983","2,01,528","1,29,758","2,74,751","2,39,557","1,22,639","2,06,436","2,62,771","1,08,537","25,616","1,60,203","1,83,464","1,92,587",CIS,19. स्टॉक में अंतर,2.4,2.2,1.3,2.6,2.1,1,1.6,1.9,0.7,0.2,1.1,1.1,1.1,CIS
20. बहुमूल्य,"2,53,033","2,59,949","1,48,879","1,87,957","1,85,986","1,51,479","2,12,307","1,91,704","1,64,527","2,13,656","2,83,099","2,29,167","2,60,747",Valuables,20. बहुमूल्य,2.9,2.8,1.5,1.8,1.6,1.2,1.6,1.4,1.1,1.6,1.9,1.4,1.5,Valuables
21. वस्तुओं एवं सेवाओं का निर्यात,"21,43,931","22,89,836","24,68,269","25,12,145","23,70,282","24,88,423","26,02,012","29,12,480","28,13,894","26,18,153","33,93,107","38,47,742","39,06,346",Exports of goods and services,21. वस्तुओं एवं सेवाओं का निर्यात,24.5,24.9,25.2,23.9,20.8,20.2,19.8,20.8,19.4,19.1,22.6,23.9,22.6,Exports of goods and services
22. वस्तुओं एवं सेवाओं का आयात,"27,15,554","28,79,079","26,44,555","26,67,595","25,11,540","26,21,593","30,78,274","33,49,861","33,21,757","29,02,463","35,43,745","39,19,021","43,46,728",Imports of goods and services,22. वस्तुओं एवं सेवाओं का आयात,31.1,31.3,27,25.3,22.1,21.3,23.4,23.9,22.9,21.2,23.6,24.4,25.1,Imports of goods and services
23. विसंगतियाँ,"-29,620","41,636","-33,060","-24,487","78,804","2,77,844","4,43,451","1,49,920","4,29,037","1,73,590","-4,98,048","-5,53,897","1,16,571",Discrepancies,23. विसंगतियाँ,-0.3,0.5,-0.3,-0.2,0.7,2.3,3.4,1.1,3,1.3,-3.3,-3.4,0.7,Discrepancies
24. सकल देशीय उत्पाद,"87,36,329","92,13,017","98,01,370","1,05,27,674","1,13,69,493","1,23,08,193","1,31,44,582","1,39,92,914","1,45,34,641","1,36,94,869","1,50,21,846","1,60,71,429","1,72,90,281",GDP,24. सकल देशीय उत्पाद,100,100,100,100,100,100,100,100,100,100,100,100,100,GDP
